singularity	1514817534	rating	44	2	1		2848	8742			product0			68.91269451
singularity	1514813485	rating	44	2	1		8250	2880			product0			67.64596281
singularity	1514809588	rating	44	2	1		9699	657			product0			67.65176575
singularity	1514813414	rating	44	2	1		3257	3274			product0			68.32711052
singularity	1514812408	rating	44	2	1		2768	1076			product0			67.90218841
singularity	1514812823	rating	555	2	0		284	1206			product0			68.54177782
singularity	1514815611	rating	304	50	67.25510214		9353				product0			
singularity	1514810730	rating	304	50	1		7708	4050			product0			68.69326433
singularity	1514817565	rating	304	50	1		8361	8682			product0			68.92622239
singularity	1514810579	rating	304	50	1		5957	5813			product0			67.7679164
singularity	1514814646	rating	304	50	1		8376	772			product0			68.28918929
singularity	1514813241	rating	49	1	1		4020	3115			product0			69.38297272
singularity	1514814518	rating	49	1	1		3567	266			product0			68.57373813
singularity	1514815650	rating	49	1	1		4986	3224			product0			67.42691344
singularity	1514810624	rating	49	1	1		988	5662			product0			68.59726887
singularity	1514815973	rating	49	1	1		332	3463			product0			68.34251398
singularity	1514809080	rating	49	1	1		9369	4508			product0			67.75464555
singularity	1514814724	rating	37	1	1		1057	734			product0			67.95062559
singularity	1514817027	rating	37	1	1		405	6315			product0			68.99359251
singularity	1514809916	rating	37	1	1		8602	1405			product0			67.63981167
singularity	1514811877	rating	37	1	1		6782	1878			product0			68.56863497
singularity	1514815939	rating	37	1	1		4976	1656			product0			68.79270971
singularity	1514812200	rating	23	2	1		5462	8992			product0			68.64423543
singularity	1514810484	rating	23	2	1		6730	1072			product0			68.75823797
singularity	1514813101	rating	23	2	1		6079	84			product0			67.88677434
